RIMS3	SYN1
RIMS3	FAIM2
TMEM151B	KCNQ2
TMEM151B	FAIM2
TMEM151B	CEND1
TMEM151B	ZBTB7A
TMEM151B	GRIN1
TMEM151B	SYN1
TMEM151B	SLC8A2
TMEM151B	CACNA1E
TMEM151B	MAN1A2
TMEM151B	RIMS3
CXXC1	KDM6B
CXXC1	TUBA1B
CXXC1	TRIP12
CXXC1	RING1
CXXC1	PBX2
CXXC1	CBX5
CXXC1	MBD2
CXXC1	RBBP4
CXXC1	ZBTB33
CXXC1	PSIP1
CXXC1	SETD7
CXXC1	TET1
CXXC1	KDM6A
CXXC1	SETD2
CXXC1	EHMT2
CXXC1	KMT2C
WHSC1L1	CREBBP
WHSC1L1	KDM6B
WHSC1L1	PWWP2B
WHSC1L1	CASP2
WHSC1L1	SETD7
WHSC1L1	BRD3
SLC9A5	CALM3
ZFYVE1	RAB5A
ZFYVE1	ATG7
ZFYVE1	ATG9A
ZFYVE1	BECN1
ZNF652	SH2B3
ZNF652	KIF1B
ZNF652	FBXO9
PRUNE2	SRC
SLC16A7	SLC2A3
SLC1A5	SLC2A3
SLC1A5	CYB5R3
SLC1A5	GGT2
SLC1A5	GATM
SLC1A5	SLC2A1
SLC1A5	MTOR
ZNF654	ZNF764
LRCH3	EMC3
ANKLE1	ZNF263
ANKLE1	BANF1
ANKLE1	BABAM1
ANKLE1	ANKLE2
RCN2	RNF11
RCN2	TSPAN3
RCN2	CALM3
RCN2	UBE3A
CLIP3	TUBA1B
CLIP3	NRXN2
CLIP3	ZDHHC3
SLC35F6	NUDT6
SLC35F6	PARPBP
LMBRD1	AMN
LMBRD1	SLC35F6
MROH1	HGH1
MROH1	SEL1L3
MROH1	CYHR1
KLHDC4	PNO1
KLHDC4	GLTSCR2
WDR20	USP1
GFOD2	ZC3H4
GFOD1	ARHGAP15
GFOD1	RNF165
GFOD1	SLC6A2
GFOD1	GFOD2
AGTPBP1	TTLL5
AGTPBP1	TTLL11
AGTPBP1	TTL
HGH1	DDX10
HGH1	GID8
HGH1	HEATR3
HGH1	PPAN
HGH1	RRP9
PBX2	RING1
PBX2	EN1
PBX2	EN2
PBX2	GPSM3
PBX2	HOXA10
PBX2	MAB21L2
PDCD4	PSMC1
PDCD4	TNS1
WDR27	GNG4
WDR27	EFR3B
WDR27	PDXDC1
RAP1GDS1	SEC62
RAP1GDS1	PDS5B
RAP1GDS1	VASH1
RAP1GDS1	WHSC1L1
RAP1GDS1	DDX10
DIRAS2	SGK494
DIRAS2	RCAN2
DIRAS2	GRIN1
DIRAS2	CALM3
DIRAS2	RAP1GDS1
AHSA2	BAG3
AHSA2	PEX13
AHSA2	HSPA6
AHSA2	BAG2
AHSA2	AMD1
AHSA2	BANP
AHSA2	FKBP4
AHSA2	CHORDC1
AHSA2	HSPH1
